,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,63,22,0.482352936,0.100830368,10.44578313,0.426758939,4.349016829,10.44578313,370,862,2.51056338,17,6.527842227
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,57,23,0.424999995,0.079051383,11.91358025,0.450777202,4.94574298,11.91358025,435,957,2.52513369,12,6.81922675
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,44,23,0.313432831,0.093575419,12.07272727,0.459337349,5.012825849,12.07272727,305,659,2.482496195,18,6.834597876
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,26,12,0.368421043,0.084821428,8.934782609,0.457420925,3.756881413,8.934782609,188,407,2.465174129,7,6.796068796
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,37,13,0.47999999,0.123762376,10.94444444,0.413705584,4.543260011,10.94444444,163,392,2.271317829,2,6.369897959
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,66,39,0.257142855,0.086277732,13.76744186,0.477195946,5.697855123,13.76744186,565,1178,2.611683849,9,6.761460102
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,46,61,-0.140186915,0.084853291,10.84,0.454797048,4.517918819,10.84,493,1077,2.454545455,1,6.790157846
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,36,20,0.285714281,0.080808081,12.18181818,0.552238806,5.093622795,12.18181818,370,667,2.789237668,8,7.491754123
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,30,28,0.034482758,0.074454429,10.06849315,0.438095238,4.202635356,10.06849315,322,734,2.518361582,6,6.513623978
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,58,23,0.43209876,0.105194805,10.82894737,0.47144593,4.520157319,10.82894737,388,820,2.564259486,32,6.842682927
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,65,21,0.511627901,0.094818081,10.65432099,0.482039397,4.454544154,10.65432099,416,860,2.651300236,11,6.969767442
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,25,0,0.99999996,0.077399381,13.72727273,0.549668874,5.710776641,13.72727273,166,302,2.78,0,7.298013245
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,80,39,0.344537812,0.148194271,117.125,0.433297759,47.0233191,117.125,406,937,2.435114504,15,6.456776948
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,17,0,0.999999941,0.040189125,9.044444444,0.542997543,3.834976795,9.044444444,221,405,2.669975186,0,7.217283951
